Date,Sales
2014-01-31,8639.6335
2014-02-28,12639.378999999999
2014-03-31,25293.370499999997
2014-04-30,17205.0717
2014-05-31,12942.5008
2014-06-30,23818.154199999997
2014-07-31,17106.0945
2014-08-31,15795.769375
2014-09-30,24959.084825
2014-10-31,20741.064
2014-11-30,31587.0963
2014-12-31,44184.11975
2015-01-31,32221.6646
2015-02-28,10289.15
2015-03-31,26730.300199999998
2015-04-30,22512.8435
2015-05-31,18799.12
2015-06-30,18670.611833333332
2015-07-31,20659.207166666667
2015-08-31,21096.0572
2015-09-30,38543.8733
2015-10-31,19857.1117
2015-11-30,34102.5915
2015-12-31,34413.43
2016-01-31,16918.081833333334
2016-02-29,9808.404666666667
2016-03-31,19414.266
2016-04-30,21159.946
2016-05-31,17870.519
2016-06-30,26281.001
2016-07-31,26022.6245
2016-08-31,24784.43805
2016-09-30,33204.9645
2016-10-31,17487.468500000003
2016-11-30,37790.6688
2016-12-31,43493.668
2017-01-31,14900.265666666666
2017-02-28,14227.480933333334
2017-03-31,14577.2168
2017-04-30,13511.02015
2017-05-31,19516.7029
2017-06-30,23912.6838
2017-07-31,18308.793
2017-08-31,25724.982
2017-09-30,37308.437
2017-10-31,29629.8029
2017-11-30,37199.2635
2017-12-31,34027.5291
